,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
cl,-3.6556499929670383,0.5127697359023263,1.4289907768767591,0.7270007439500574,0.9443162113564147,-1.1390174876569592,2.0743683158973463,-0.11470830907265753,-0.19647824254268115,0.727036880241617,0.015150573543250292,0.04068758894703391,0.033308169868229716,0.767020150843411,0.5169872858096837,-0.18141298083388044,-0.07542789185406083,-0.08147901592720135,0.259299675110219,-0.028111564598252318,-0.017768460765143212
db,-1.8214923554118412,-1.4122275562364213,0.17006661517093377,-0.5090251034527834,-0.018683998510180242,0.031423877062366594,-0.4003533674768466,-0.040870770704878545,-0.4303697913418273,0.47166414281257635,0.1341282193656842,-1.115049804105345,0.4858818420449226,-0.33669695190013843,-0.04728380562509496,0.10379194153632688,-0.20723152179880142,-0.041818937604764454,0.06222652622820532,0.34401451518489934,-0.13998929042298675
gr,-3.2200745523909733,-1.8431202060403622,1.6163511467877707,0.7617734730380276,-0.4141515977658185,-1.281094236609527,0.06008903962393114,0.4919806841159856,-0.8847533178236991,-0.551864621270522,0.004683251595801564,-0.03044822663831659,0.22114920880313954,-0.24897627825965174,-0.08478600284825871,-0.15197056916422327,-0.27120313505306004,0.3776058100875077,-0.40247256035676676,-0.13183643576357615,0.02526070975500644
il,-2.8966152753635326,1.114119590323483,2.020021402801775,0.17264730282343152,0.5602902802804048,-0.6808604171114313,0.2868609231470403,-0.73116744719231,0.3937151589565049,0.5745491758991985,0.8515224676831862,-0.7139916943396333,1.1203160918718817,0.18539512505124858,0.14232357136690196,-0.1556853066835634,0.28938898688426584,0.27224255731697217,-0.2781811465899882,0.005542599066676426,-0.049945642467749914
ph,1.5461619973607355,-1.2750154580556026,-0.100219368695502,-0.5954508322742466,-0.021025347032539613,1.1764650729990676,-1.144810348258873,0.7592999467261696,-1.1759431135876774,0.008330560452324177,0.06644782862280044,-0.47194469433267555,0.38046918476278224,-0.352318616120526,0.35094969680462007,-0.13228617275634594,0.12037677555382988,0.00916818847561811,0.46459402523036575,-0.1578016196325951,-0.0725463695507064
tr,-3.074928980323137,-0.7930469220210867,0.062082527052068945,-0.2914394177906388,-1.000033992708793,-1.1873961644800353,0.5615620602029369,0.7113452277730371,-0.20966904440880824,0.4040182102644084,0.11930998910268803,0.49360108162720373,0.010394850695230233,-0.22195774030827004,-0.33942164251211004,0.11108400033906672,0.13930085239530282,0.05735843475733571,-0.01986350211473065,0.21141190400696766,-0.026252616522610062
if,4.3984845196258915,-6.497161557207961,1.3411602382804722,3.51570629439434,0.2112830437863956,1.1783284467090651,-0.3376892878019189,-0.18850787142760989,1.0785122621632943,0.6939228249009929,-0.34182866925449645,0.4618901117814055,0.14802267282000842,0.418284900528445,0.03146668886715522,0.04821803622926418,0.16232174410803088,-0.17196278485308217,-0.04406535631756891,-0.006680540945584282,-0.0007136146084146401
b,13.647025030081444,-0.14623724380475206,-0.08863387679656005,-1.3185395535141646,0.8426239976541192,-2.7042768833235993,0.48926533684565404,0.38042661290216384,-0.17895935626436152,-0.6870648506454609,0.3561727091560946,0.6209565271745466,0.33323930750170055,0.3102073541776554,-0.14655427205888985,-0.24380458839063987,-0.2119593622947137,0.28719729640112684,0.18779593569250008,0.012605788437827118,-0.02954119201272379
dj,0.12460461156010881,-1.2111427247757651,-0.3032039907954611,-1.5659237055756603,-1.1471781972731283,-1.0751524480597567,0.5917755914088211,0.4914201732704041,0.5932317272805672,0.017428643139273118,-0.7502777706037778,-1.1340630739479025,-0.0785127182412156,-0.25649093325013406,-0.5924879338142238,-0.03884697897454464,0.5182428698234312,-0.05789520727569175,0.16104175153552663,-0.11087420799979668,-0.07673613817195157
gj,0.01209565243360796,-1.76563108310361,-1.20667562099638,-1.2126953484574239,-1.2040604779875017,0.2507436807927716,-0.054203572905227905,-0.4259811456377135,0.24007218619650827,-0.3030874180171589,1.7933677353506192,0.38072225524220876,-0.033694093339626245,-0.3765656687807071,0.688945037949602,0.3073958475871238,-0.29088575236636804,-0.37348972231445293,-0.11399382655964677,-0.016793418832174344,-0.07086120432739788
mh,-1.7943542716283487,-0.6445036666812805,-0.6609854306243677,-0.4328958759692733,-1.8979404330830125,-1.0845162551018637,-0.020406047177212765,1.4636410979287597,0.8661834854289543,-0.4876112328515084,0.22097118047981298,-0.13175304795872314,-0.3634259196362299,-0.5959429815952995,0.3178663574582527,0.406118276970745,-0.06903232046729596,0.09544915217505524,-0.049098947022334645,-0.24583907998767632,0.09226644747930082
ot,-2.571989152517418,-1.1135136302219362,0.1418759598647196,-0.023146324407340015,-0.08874911567870167,-0.4832893767075848,0.18186427774519953,-0.21696946846328197,-0.29274739410665995,-0.3247636007632753,0.36014298369846415,0.0253458786478399,0.06696925356128158,-0.3000940784540356,0.01534637162258257,-0.23297799865707175,-0.08775853402510272,-0.27998477767432717,-0.059865652454611305,-0.031904991980163146,0.045448343658274284
vl,-0.04812858260855888,0.8498388595896016,0.816862359093092,-0.4570185607217235,-1.9790678589527786,0.39666917588509226,-1.1051476334788617,0.11654895373887517,0.006751954375161262,-1.6440032113724907,-0.2071078658320183,-0.09326170360000952,0.005073171214319098,0.9393677709143653,-0.0878738823984893,-0.27675124110589877,0.09404160377411094,-0.47499469510521397,-0.04291519762440575,0.12534839664496256,-0.11742524331978973
ar,1.3208968807345278,1.9350698012726482,-0.07771389346572809,1.738406368305123,2.340240001761844,-1.299581379984339,-0.876663452927675,0.07889849968080245,1.091257357351142,0.4182531937113486,0.18830333689150275,-0.9120243172514434,-0.22597786310589102,-0.21231156431401632,0.06843294243659076,0.9182677539037146,0.0895246050628143,-0.2089673218689751,0.06961129699278161,0.03655981684359275,-0.04798293098985231
cs,-1.0076666210376932,1.12222996621575,0.9227612081021189,1.365315813245234,-1.1061626719495081,0.7332005148306928,1.4041843619885332,0.845262621478699,0.28665447417896794,0.594700527600679,-0.281596906959939,0.3516893533559315,-0.8309052715731167,-0.41484484947306355,0.3096414184788573,0.22064073553350283,-0.07870250981653636,0.46215820906969257,0.14303543406765043,0.043701032263004404,0.057860630707852564
hd,1.5013679473143209,0.46522583637831044,-1.9848438117697402,-1.393679430744383,0.796130714459223,1.254027798898672,-1.0042852636458874,0.8820649646944974,0.697574134191233,0.9458285858927669,0.4507931019655636,0.4179818082642934,-0.21582618934416614,0.060741892687522656,0.4122617532556446,-0.712767459284644,0.5696744804766484,0.20455702371020046,-0.3940109428137431,0.04889378401190078,0.03361946466806384
tm,3.884592980640549,0.7183104475009997,-0.0673317662409465,1.7962143486876203,-0.11435116429532668,-0.9896378506612364,-0.5161233142624284,-0.41639290558178155,-0.24001087145808456,0.2801625121363334,0.13580825910030364,0.04031822813063299,-0.4551602995639202,-1.0821259204711275,0.11106035823652109,-0.3633010535975309,-0.20722422400632018,-0.20887700232173453,0.015150094876750123,0.2575254647596356,0.04119301643563452
