,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Netherlands,-0.4880865646591564,-0.1904942658399461,-0.44962432530378604,-0.6219301986943411,0.022322570210793022,-1.2907684285983956,-0.1054047112651432,0.24023429860763157,0.23785468510154892,-0.39280770199558435,-0.8100213547318873,1.3232788601353116,-1.6534493466085933,-0.03160305065995562
Austria,-0.30068165318433066,-0.618625366120192,-0.2370427998305194,-0.7281971610589689,1.705401037632666,2.3372217975564142,-0.7596488864611154,-0.2742870989447173,0.07934882936031984,1.4301019109670703,0.36477641739170297,0.2707428865678093,0.6851647874577511,-0.41098099531776044
Poland,0.48746634787631166,0.7827467325018136,-1.3355303759391381,0.8341166018006443,0.2809221548895068,-0.5816896745671299,0.7977531228702955,0.5318996940409173,-0.8806822111968994,-0.6204428034613744,0.6228314095302617,0.8736012168257061,0.3185345794161193,-0.37468571882340396
Portugal,-0.33665949254278743,1.0686366507047105,1.1576192143359787,2.6572957808971442,0.5714347980562808,-1.0070504350226954,0.7072388372756533,0.6012957745128537,0.05274338367948665,2.5819921374853307,1.7344783751453814,1.2298518098361608,1.2667134255564247,0.3776794512689245
Romania,1.3517098039287376,1.0165031072912587,-0.3699115844019569,0.9412401257779383,-1.8524810658372575,1.3123325535377421,0.6513698558064798,-2.1154676513413726,-1.4294132598787241,1.25414998763583,0.37783270240659744,-0.8963089382173053,-1.1154148673580804,-0.9033687003413138
Slovenia,0.643393466259189,-1.0841589918682686,-2.294373663151707,0.2463945417992452,1.3635393613207385,-0.5791611364270554,1.2476135345562536,-0.08001570081168466,-1.5415796728830966,-0.2569947132375433,0.5256069109331301,-0.9619083744173998,0.5892227230676219,-0.6362600611554672
Slovakia,0.9884540014066853,0.949365656621466,-1.4225427880329276,1.0535086196651007,-1.6810217584203349,0.5793687437861528,0.5012238765992647,0.7224595889275033,0.8930609022190145,-0.08218024583074392,-1.9349016761758737,-0.35267580693957984,1.3044422149217483,0.03888697096917449
Finland,-0.3866079124845776,-2.0312558104107126,1.2398129333335377,-1.9065277801619045,-1.760819948338012,0.043342827679286905,2.858137530075926,-1.0598784237557528,1.4829661581973606,0.7689513206192965,0.6267351091202753,-0.32318164053598597,0.3047512838520428,0.34917089620619607
Sweden,-0.6770392703131396,-0.31760476577939434,0.19920482504993703,-0.8014747665258655,-0.07792496565337757,-0.8588923056868047,-0.8805607452868456,0.38280329540786084,-0.37384379506601806,-0.02631355789204866,-0.09549590636347592,-1.632054786799302,-0.528045889064065,-0.16703658424779147
United Kingdom,-0.7906258920088634,0.13869120482556924,-1.0875320911897643,1.027928779262517,-1.3479920802101073,-0.6153859175978368,-0.43656960792974686,0.45710602104490106,0.867262614904462,0.34263006225554044,-0.5386244872043573,0.028710822597808626,-1.413835237983984,0.9287002864614217
Iceland,-0.7302653483264696,-1.0646660062850914,0.4391858600227298,-0.271215198920307,-0.7228048200842383,-0.9117985299972924,0.4864085771730848,0.18184597803847827,0.6675068303867203,-0.8932509879234312,0.8929182788578485,0.6018460277950105,1.2925854276929387,-1.481541753241393
Liechtenstein,-1.858126017619714,-1.7272680716350148,0.1992863038834294,2.0264018580324255,-1.0817308940794204,3.0338678713601817,-0.40629821283214873,0.4712168198246143,0.28934030495466523,-1.1848813108424192,-0.2794230517320143,1.3842684629788908,-0.3748783079162365,-0.21547747755087923
Norway,-0.7718129643303654,-0.6385402512874179,-0.48297736224145,-0.1638284466693723,-0.12003899658982031,-0.5367779021050846,-0.7235762881770801,1.077842322788345,-0.9192144939821506,0.23733278912756584,-0.9262700065651843,0.5068432881414062,-0.9919653628817884,2.067441830599808
Switzerland,-0.7663270746197131,-0.7116351854865665,0.15779543272459073,-0.6505820891032814,0.02728382459170416,0.03574894865550349,-0.9561971176030666,0.14442017667304372,-0.9513836295440128,0.6609337196605235,-0.04011906842643588,-0.17482963789065883,0.7665684090623719,0.6719409640682771
Serbia,0.22810255950911076,0.94729010226792,-0.21486898210505107,-0.3676343862482246,1.0866340612677878,0.006074314905407247,-0.2792148320678332,-0.5006745754558276,1.4541682871320272,-1.5411334876598075,2.817247651954619,1.4383378061308327,-1.3154933049471988,-0.5355391329485023
Turkey,-0.6227377027496106,1.7529560625728753,1.190149526609361,-0.03212618409582754,-0.26347907105784424,0.7438914612358104,2.329905935703914,1.28031651860417,-0.6374881712662175,-1.630442906977422,0.004978792358306769,-0.5364156972675416,-0.5641736860345322,1.0718150299315687
